For K Gaussians,BIC
1,-15889.159256274777
2,-15883.884129165303
3,-15876.506995452468
4,-15869.129861739633
5,-15861.7527280268
6,-15854.375594313966
7,-15846.998460601133
8,-15839.621326888298
9,-15832.244193175464
10,-15824.867059462631
