For K Gaussians,BIC
1,-3862.657889519325
2,-3869.91998607419
3,-3864.8044042307993
4,-3858.8760844259696
5,-3852.9197243742638
6,-3846.9146018253373
7,-3840.8885172763603
8,-3834.908906688918
9,-3828.9782594835815
10,-3821.807862853762
